section,groupType,identifier,severity,recordType,recordId,path,line,summary,manifestMap
security-quality,rule,js/unused-local-variable,note,location,10,jest.config.js,4,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,11,server/frontend/scripts/test-stubs.cjs,9,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,12,server/frontend/scripts/test-stubs.js,9,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,13,server/frontend/src/hooks/__tests__/useAuthorizationTests.test.ts,2,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,14,server/frontend/src/contexts/__tests__/DataClientContext.test.tsx,115,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,15,server/frontend/src/stubs/__tests__/stubs.test.js,9,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,16,server/frontend/src/stubs/__tests__/stubs.test.js,11,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,17,tests/express/response-middleware.test.ts,5,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,18,tests/integration/api-endpoints.integration.test.ts,113,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,19,tests/unit/auth-strategy.test.ts,6,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,20,tests/unit/config-loader.test.ts,9,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,21,tests/unit/controller-url-resolver.test.ts,15,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,22,tests/unit/filter-schema.utils.test.ts,402,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,23,tests/unit/data-client.test.ts,318,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,24,tests/unit/data-client.test.ts,348,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,25,tests/unit/data-client.test.ts,372,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,26,tests/unit/data-client.test.ts,405,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,27,tests/unit/data-client.test.ts,445,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,28,tests/unit/data-client.test.ts,481,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,29,tests/unit/data-client.test.ts,506,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,30,tests/unit/data-client.test.ts,1629,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,31,tests/unit/data-client.test.ts,1714,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,32,tests/unit/http-client.test.ts,10,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,33,tests/unit/logging-helpers.test.ts,5,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,34,tests/unit/origin-validator.test.ts,5,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,35,tests/unit/request-context.test.ts,5,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,36,tests/unit/request-context.test.ts,321,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,37,tests/unit/sensitive-fields.loader.test.ts,32,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,38,tests/unit/sensitive-fields.loader.test.ts,97,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,39,tests/unit/token-utils.test.ts,5,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,40,tests/unit/sensitive-fields.loader.test.ts,262,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,41,tests/unit/unified-logger.test.ts,23,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,42,tests/unit/unified-logger.test.ts,24,Unused variable/import/function/class,
security-quality,rule,js/unused-local-variable,note,location,43,tests/unit/unified-logger.test.ts,26,Unused variable/import/function/class,
dependabot,advisory,GHSA-2w6w-674q-4c4q,critical,advisory-map,,,,Handlebars.js has JavaScript Injection via AST Type Confusion,"server/pnpm-lock.yaml (1); pnpm-lock.yaml (1)"
dependabot,advisory,GHSA-5xrq-8626-4rwp,critical,advisory-map,,,,When Vitest UI server is listening arbitrary file can be read and executed,"server/pnpm-lock.yaml (1); server/package.json (1); server/frontend/pnpm-lock.yaml (1); server/frontend/package.json (1)"
